sku_norm,Line: Title,Line: Variant Title,product_category,line_items,orders,revenue_sgd,covered_revenue_sgd,covered_lines,estimated_gross_profit_sgd,estimated_cogs_sgd,revenue_coverage_pct,line_coverage_pct,estimated_margin_pct
0724999807845,Soy Protein Isolate,1kg Pack (40 servings) / Natural (Unflavoured),Soy Protein,207,206,8718.245454545455,8718.245454545457,207,7411.9054545454555,1306.34,1.0000000000000002,1.0,0.850160217808629
,BCAA Tablets - 120 Capsules,,Unknown,228,228,8626.218787878788,0.0,0,0.0,0.0,0.0,0.0,
0724999807807,CLEAR PROTEIN,500g Pack (20 servings) / White Grape,Clear Protein,92,92,8446.81,8446.81,92,6166.45,2280.36,1.0,1.0,0.7300329947045098
,"Better Whey Protein - 500g Pack, Natural (Unflavoured)",,Unknown,129,128,8403.23,0.0,0,0.0,0.0,0.0,0.0,
,Soy Protein Isolate,,Unknown,66,66,8389.6,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Peanut Butter Fudge (Preorder- Limited Edition) - 1KG (40 Servings), Peanut Butter Fudge (Limited Edition)",,Unknown,36,36,8188.65,0.0,0,0.0,0.0,0.0,0.0,
724999807937,BETTER WHEY PROTEIN,1kg Pack (40 servings) / Cocoa Dinosaur,Other,127,122,8012.18393939394,0.0,0,0.0,0.0,0.0,0.0,
ACC-SQB-V1,LP Squeeze Bottle,lime green,Other,37,36,7624.76,7624.759999999999,37,6530.06,1094.6999999999998,0.9999999999999999,1.0,0.8564282679061375
724999807784,BETTER WHEY PROTEIN,1KG Pack / Matchawhey,Other,87,85,7423.758787878788,0.0,0,0.0,0.0,0.0,0.0,
0724999810463,LEAN PROTEIN SACHET,40g Sachet / Thai Milk Tea,Unknown,178,178,7321.22,7321.220000000001,178,5994.88,1326.34,1.0000000000000002,1.0,0.8188362048948125
,CLA Capsules - 60 softgels,,Unknown,140,140,7244.608787878788,0.0,0,0.0,0.0,0.0,0.0,
0724999810470,LEAN PROTEIN SACHET,40g Sachet / Taro,Unknown,113,113,7206.8,7206.800000000002,113,5936.07,1270.73,1.0000000000000002,1.0,0.8236762502081365
,"Lean Meal - 500g (16 servings), Belgian Choc",,Unknown,84,84,7191.97,0.0,0,0.0,0.0,0.0,0.0,
LEAN-THA-1KG-2BL-V1,LEAN PROTEIN,2 x 1kg Packs (50 servings) *MOST POPULAR* / Thai Milk Tea,Lean Protein,65,65,7189.83,0.0,0,0.0,0.0,0.0,0.0,
724999807890,BETTER WHEY PROTEIN,1kg Pack (40 servings) / Natural (Unflavoured),Other,101,95,6978.236060606061,0.0,0,0.0,0.0,0.0,0.0,
,"Plant Protein - 480g Pack, Uji Matcha (Unsweetened)",,Unknown,125,125,6970.1618181818185,0.0,0,0.0,0.0,0.0,0.0,
ACC-SHK-V2,LP CLASSIC SHAKER,White,Accessories,582,581,6909.429999999999,6909.43,582,5904.55,1004.88,1.0000000000000002,1.0,0.8545639799520366
,Superset Coffee - 500g Pack (40 Serves),,Unknown,181,181,6820.745454545455,0.0,0,0.0,0.0,0.0,0.0,
0724999807784,BETTER WHEY PROTEIN,1kg (40 serves) / Matchawhey,Other,101,101,6718.178787878788,0.0,0,0.0,0.0,0.0,0.0,
,Pureburn™ Fat Burner Capsules,,Unknown,14,14,6692.052121212121,0.0,0,0.0,0.0,0.0,0.0,
0724999809184,BETTER WHEY PROTEIN ELITE,1kg pack (40 servings) / Cocoa Dinosaur,Other,15,15,6613.2,0.0,0,0.0,0.0,0.0,0.0,
CLEAR-GRA-500G-2BL-V2,CLEAR PROTEIN,2 x 500g Pack (40 servings) *MOST POPULAR* / White Grape,Clear Protein,52,52,6439.71,0.0,0,0.0,0.0,0.0,0.0,
LEAN-TAR-1KG-2BL-V1,LEAN PROTEIN,2 x 1kg Packs (50 servings) *MOST POPULAR* / Taro,Lean Protein,60,60,6333.27,0.0,0,0.0,0.0,0.0,0.0,
ELT-CHO-1KG-V1,BETTER WHEY PROTEIN ELITE,1kg pack (40 servings) / Cocoa Dinosaur,Other,11,11,6240.29,6240.290000000001,11,4644.5,1595.79,1.0000000000000002,1.0,0.7442763076715985
,Lushprotein Clear Protein Isolate (500g/20 servings) (Not linked to Shopify),,Unknown,13,13,6122.25,0.0,0,0.0,0.0,0.0,0.0,
0724999807708,LEAN PROTEIN,1kg Pack (25 servings) / Taro,Lean Protein,53,53,6109.41,6109.409999999997,53,4238.51,1870.8999999999999,0.9999999999999996,1.0,0.6937674832757995
0724999807845,SOY PROTEIN ISOLATE,1kg Pack (40 servings) / Natural (Unflavoured),Soy Protein,121,121,6033.96,6033.959999999998,121,5213.7,820.26,0.9999999999999997,1.0,0.8640594236620729
,"Better Whey - 500g Pack, Vanilla",,Unknown,302,301,6019.509696969697,0.0,0,0.0,0.0,0.0,0.0,
724999807890,BETTER WHEY PROTEIN,1KG Pack / Natural (Unflavored),Other,71,67,5958.820303030304,0.0,0,0.0,0.0,0.0,0.0,
ELT-VAN-1KG-V1,BETTER WHEY PROTEIN ELITE,1kg (40 serves) / Vanilla,Other,31,31,5907.78,5907.78,31,4716.8,1190.98,1.0,1.0,0.7984048153451889
,"Better Whey - 500g Pack, Teh Tarik",,Unknown,273,271,5855.050909090909,0.0,0,0.0,0.0,0.0,0.0,
0724999807821,LEAN PROTEIN,1kg Pack (40 servings) / Thai Milk Tea,Lean Protein,53,51,5768.0,5767.999999999999,53,3897.5199999999995,1870.48,0.9999999999999999,1.0,0.6757142857142857
724999807784,BETTER WHEY PROTEIN,1kg Pack (40 servings) / Matchawhey,Other,100,97,5758.088787878788,0.0,0,0.0,0.0,0.0,0.0,
0724999807845,SOY PROTEIN ISOLATE,1 x 1kg Pack (40 servings) / Unflavoured,Soy Protein,118,118,5725.8099999999995,5725.809999999998,118,5096.51,629.3,0.9999999999999997,1.0,0.8900941526177086
0724999807784,Better Whey Protein,1KG Pack / Matchawhey,Other,53,53,5607.971212121212,0.0,0,0.0,0.0,0.0,0.0,
0724999807999,CREATINE MONOHYDRATE,250g (50 serves),Other,94,94,5490.89,5490.89,94,4476.89,1014.0000000000001,1.0,1.0,0.815330483764927
,"Better Whey Peanut Butter Fudge (Preorder - Limited Edition) - 1KG Pack, Peanut Butter Fudge (Limited Edition)",,Unknown,64,64,5459.636363636364,0.0,0,0.0,0.0,0.0,0.0,
724999808507,COLLAGEN GLOW,300g Pack (30 servings) / Natural (Unflavoured),Collagen Glow,102,102,5423.478787878788,0.0,0,0.0,0.0,0.0,0.0,
724999807791,Prime Whey Isolate,1kg Pack (40 servings) / Cocoa Dinosaur,Other,55,51,5351.287878787879,0.0,0,0.0,0.0,0.0,0.0,
,"Lean Meal (Pre-Order Sale) - 500g Pack (16 Serves), Belgian Choc",,Unknown,35,35,5315.49090909091,0.0,0,0.0,0.0,0.0,0.0,
CLEAR-PEA-500G-2BL-V2,CLEAR PROTEIN,2 x 500g Pack (40 servings) *MOST POPULAR* / Peach,Clear Protein,42,42,5312.2,0.0,0,0.0,0.0,0.0,0.0,
0724999808507,COLLAGEN GLOW,1 x 300g pack (30 servings),Collagen Glow,111,111,5298.09,5298.089999999998,111,3732.57,1565.52,0.9999999999999997,1.0,0.7045123808768823
724999807791,Prime Whey Isolate,Cocoa Dinosaur / 1kg,Other,50,47,5229.212424242424,0.0,0,0.0,0.0,0.0,0.0,
,Better Whey Protein Starter Pack,,Unknown,272,272,5135.902727272727,0.0,0,0.0,0.0,0.0,0.0,
0724999807890,BETTER WHEY PROTEIN,1kg (40 servings) / Unflavoured,Other,71,71,5074.3099999999995,5074.309999999998,71,3133.1099999999997,1941.2,0.9999999999999997,1.0,0.6174455246131989
0724999807937,BETTER WHEY PROTEIN,1kg (40 servings) / Cocoa Dinosaur,Other,70,70,5067.62,5067.619999999998,70,2838.58,2229.04,0.9999999999999997,1.0,0.5601406577446614
LEAN-TAR-40G-5PK-V1,Lean Protein Single Serve,5 x 40g Sachet (5 servings) *Most Popular* / Taro,Lean Protein,111,111,5026.46,5026.459999999998,111,4022.16,1004.3000000000001,0.9999999999999997,1.0,0.8001973555941958
,"Better Whey Protein - 500g Pack, Honeydew",,Unknown,123,123,5006.7,0.0,0,0.0,0.0,0.0,0.0,
0724999807822,LEAN PROTEIN,1kg Pack (25 servings) / Taro,Lean Protein,72,72,4988.15,0.0,0,0.0,0.0,0.0,0.0,
BND-SS-MIX6-V1,Discovery Sampler (6 sachets variety pack),6 Sachets Variety,Other,239,239,4933.0599999999995,4933.06,239,3869.1,1063.96,1.0000000000000002,1.0,0.7843204826213344
,Farm Fresh Oat Milk 1L,,Unknown,363,359,4846.363939393939,0.0,0,0.0,0.0,0.0,0.0,
0724999807999,CREATINE MONOHYDRATE,1 x 250g Pack (50 servings),Other,162,162,4808.19,4808.1900000000005,162,3885.45,922.74,1.0000000000000002,1.0,0.8080899465287352
,Creatine Monohydrate Powder,,Unknown,98,98,4758.59,0.0,0,0.0,0.0,0.0,0.0,
