Line: Product Handle,Line: Variant Title,Line: SKU,line_items,unique_customers,total_revenue,unit_cost,Price / Singapore,Status,has_cost
creatine-monohydrate-sachet,1 x 5g (1 servings),CRE-UNF-5G-V1,22,18,230.39,0.21,,active,True
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet / Taro,LEAN-TAR-40G-5PK-V1,4,4,229.9,4.15,,,True
better-whey,500g Pack (20 servings) / Vanilla (Expiry Sep 2024),0724999808903,10,10,228.0,,,,False
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet / Thai Milk Tea,LEAN-THA-40G-5PK-V1,6,5,225.77,4.15,,,True
pureburn-fat-burner-capsules,90 tablets,724999807562.0,5,5,214.5,,,,False
collagen-glow-10g-single-serve,7 x 10g Sachet (7 servings) *Most Popular*,COL-UNF-10G-7PK-V1,7,5,212.77,2.75,,,True
plant-protein,Natural (Unflavored),0724999808620,2,2,209.3,,,,False
better-whey,500g Pack / Vanilla,0724999808903,3,3,195.89,,,,False
lean-protein,4 x 1kg Packs (100 servings) / Thai Milk Tea,0724999807821_4,1,1,193.5,,,,False
better-whey,500g Pack (20 servings) / Matchawhey,724999808941.0,5,5,191.92,,,,False
green-tea-extract-capsules,60 Capsules,724999807548.0,7,6,187.4369696969697,,,,False
lean-protein,40g Sachet / Taro,0724999810470,30,29,186.24,,,,False
plant-protein,480g Pack / Vanilla,0724999808613,4,3,185.34454545454545,,,,False
clear-protein-25g-single-sachet,5 x 25g Sachets / Peach,CLEAR-PEA-25G-5PK-V2,3,3,175.57999999999998,5.25,,,True
pureburn-fat-burner-capsules,90 capsules,0724999807562,2,2,172.31333333333333,,,,False
multivitamin-vegan,90 Capsules (30 servings),724999808378.0,5,4,167.4348484848485,,,,False
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet / Taro,LEAN-TAR-40G-V1,12,10,165.62,0.83,,active,True
clear-protein,500g Pack (20 Servings) / Peach,724999807814.0,4,4,164.34545454545454,,,,False
lean-protein,1kg Pack (25 serves) / Taro,0724999807822,3,3,161.35,,,,False
better-whey,500g Pack / Matchawhey,0724999808941,4,4,155.60999999999999,,,,False
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,0724999810463_5,5,4,154.99,,,,False
clear-protein,1 x 500g Pack / White Grape,CLEAR-GRA-500G-V2,2,2,136.31,18.39,,,True
soy-protein-isolate,2 x 1kg Pack (80 servings) *Most Popular* / Unflavoured,0724999807845_2,2,2,136.0,,,,False
super-omega-3,60 Softgels (60 servings),724999807555.0,4,4,134.97878787878787,,,,False
pureburn-fat-burner-capsules,90 Capsules (90 servings),724999807562.0,4,4,134.43636363636364,,,,False
pureburn-fat-burner-capsules,90 Tablets (90 servings),724999807562.0,3,3,128.7,,,,False
clear-protein-25g-single-sachet,25g Sachet / White Grape,0724999810487,22,20,128.49,,,,False
green-tea-extract-capsules,60 Capsules (60 servings),724999807548.0,6,5,128.1639393939394,,,,False
clear-protein,500g Pack (20 Servings) / White Grape,724999807807.0,2,2,124.07272727272726,,,,False
clear-protein,500g Pack (20 Servings) / White Grape,0724999807807,3,3,122.44545454545454,,,,False
better-whey,500g Pack (20 servings) / Vanilla,724999808903.0,3,3,119.69999999999999,,,,False
better-whey,500g Pack / Teh Tarik,0724999808910,3,3,119.69999999999999,,,,False
lean-protein,1kg Pack (40 servings) / Taro,0724999807822,2,2,113.81,,,,False
green-tea-extract-capsules,60 Capsules,CAP-GTE-BOTTLE-V1,5,5,111.25,6.19,,draft,True
clear-protein-25g-single-sachet,5 x 25g Sachet (5 servings)  *MOST POPULAR* / Peach,0724999810494_5,4,4,109.52,,,,False
better-whey,500g Pack / Natural (Unflavoured),0724999808880,2,2,109.05060606060606,,,,False
plant-protein,Natural (Unflavored) / 480g,0724999808620,3,3,108.96969696969698,,,,False
better-whey,500g Pack (20 servings) / Natural (Unflavoured),724999808880.0,3,3,107.04242424242425,,,,False
clear-protein-25g-single-sachet,25g Sachet / Peach,0724999810494,22,19,106.61,,,,False
better-whey,500g Pack (20 servings) / Matchawhey,0724999808941,5,3,101.76,,,,False
better-whey,1kg Pack (40 servings) / Genmai-Roasted Brown Rice,724999808736.0,2,2,99.8,,,,False
better-whey,1KG Pack / Natural / Unflavored,724999807890.0,2,1,91.47,,,,False
lean-protein,1 x 1kg Pack / Taro,LEAN-TAR-1KG-V1,1,1,88.76,17.65,,active,True
multivitamin-vegan,90 capsules,0724999808378,3,3,77.8,,,,False
better-whey,500g Pack / Natural (Unflavored),0724999808880,2,2,75.81,,,,False
collagen-glow-10g-single-serve,1 x 10g Sachet (1 serving),COL-UNF-10G-V1,10,5,73.50999999999999,0.55,,active,True
clear-protein-25g-single-sachet,5 x 25g Sachets / White Grape,CLEAR-GRA-25G-5PK-V2,1,1,69.0,5.25,,,True
micronized-creatine-monohydrate,4 x 250g Pack (200 servings),0724999807999_4,1,1,68.32,,,,False
clear-protein,1 x 500g Pack / Peach,CLEAR-PEA-500G-V2,1,1,67.31,18.39,,active,True
super-omega-3,60 Capsules,0724999807555,2,2,64.18181818181819,,,,False
multivitamin-vegan,90 Caps,0724999808378,2,2,56.13939393939394,,,,False
collagen-glow-10g-single-serve,1 x 10g Sachet,COL-UNF-10G-V1,3,3,48.120000000000005,0.55,,active,True
clear-protein-25g-single-sachet,1 x 25g (1 serving) / White Grape,0724999810487,4,4,47.47,,,,False
clear-protein-25g-single-sachet,1 x 25g (1 serving) / Peach,0724999810494,4,4,47.47,,,,False
better-whey,1KG Pack / Natural/Unflavored,724999807890.0,1,1,45.42424242424243,,,,False
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / Peach,0724999810548,2,2,41.34,,,,False
clear-protein-25g-single-sachet,5 x 25g Sachet (5 servings)  *MOST POPULAR* / White Grape,0724999810487_5,2,2,40.82,,,,False
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Taro,0724999810470_5,2,2,39.91,,,,False
better-whey,500g Pack / Vanilla (Exp Nov 2023),724999808903.0,1,1,39.9,,,,False
creatine-monohydrate-sachet,10 x 5g (10 servings) *Most Popular*,0724999809603_10,1,1,39.9,,,,False
multivitamin-vegan,90 Capsules,0724999808378,1,1,38.9,,,,False
collagen-glow-10g-single-serve,5 x 10g Sachet (5 servings) *Most Popular*,724999809009_5,2,2,30.009999999999998,,,,False
better-whey,500g (20 serves) / Unflavoured,0724999808880,1,1,24.51818181818182,,,,False
collagen-glow-10g-single-serve,7 x 10g Sachets,COL-UNF-10G-7PK-V1,1,1,22.3,2.75,,,True
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / White Grape,0724999810531,1,1,17.93,,,,False
creatine-monohydrate-sachet,1 x 5g (1 servings),0724999809603,2,1,17.700000000000003,,,,False
creatine-monohydrate-sachet,1 x 5g Sachet (1 servings),0724999809603,2,2,16.92,,,,False
collagen-glow-10g-single-serve,1 x 10g Sachet (1 serving),724999809009,2,2,10.54,,,,False
lean-protein,40g Sachet (single serve) / Taro,0724999810470,1,1,2.98,,,,False
better-whey,1kg Pack (40 servings) / Vanilla (Expiry Sep 2024),0724999807913,1,1,0.0,,,,False
