first_handle,first_variant,first_sku,flavor_sku,customers,repeat_rate,avg_ltv
better-whey,1KG Pack / Teh Tarik,724999808422.0,better-whey | 1KG Pack / Teh Tarik,7,0.5714285714285714,215.6857142857143
better-whey,500g Pack / Cocoa Dinosaur,0724999808897,unknown | Default,7,1.0,289.167316017316
better-whey,500g Pack / Natural (Unflavored),724999808880.0,better-whey | 500g Pack / Natural (Unflavored),7,0.14285714285714285,49.61290043290044
better-whey,500g Pack (20 servings) / Vanilla,0724999808903,better-whey | 500g Pack (20 servings) / Vanilla,7,0.0,28.22
clear-protein-25g-single-sachet,1 x 25g Sachet (1 serving) / Peach,0724999810494,clear-protein-25g-single-sachet | 1 x 25g Sachet (1 serving) / Peach,7,0.42857142857142855,61.728571428571435
collagen-glow,300g Pack,724999808507.0,unknown | Default,7,1.0,627.9025108225107
clear-protein,500g Pack (20 Serv) / Peach,0724999808361,unknown | Default,7,0.42857142857142855,166.81142857142854
pureburn-fat-burner-capsules,90 capsules,724999807562.0,pureburn-fat-burner-capsules | 90 capsules,7,0.2857142857142857,111.47151515151516
better-whey,1KG Pack / Cocoa Dinosaur,724999807937.0,unknown | Default,7,1.0,497.9576623376624
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,unknown | Default,7,1.0,2146.4662337662335
super-omega-3,60 Softgels (60 servings),0724999807555,super-omega-3 | 60 Softgels (60 servings),6,0.8333333333333334,143.37525252525253
prime-whey-isolate,Matchawhey / 1kg,724999807777.0,prime-whey-isolate | Matchawhey / 1kg,6,0.5,185.78166666666667
better-whey,1kg Pack (40 servings) / Mango,0724999807951,better-whey | 1kg Pack (40 servings) / Mango,6,0.16666666666666666,96.37666666666667
micronized-creatine-monohydrate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807999,micronized-creatine-monohydrate | Default,6,0.5,172.00378787878788
collagen-glow,300g Pack,0724999808507,collagen-glow | 300g Pack,6,0.5,220.11580808080808
lushprotein-clear-shaker,500g Pack (20 Serv) / White Grape,0724999808361,lushprotein-clear-shaker | Default,6,0.16666666666666666,173.42272727272726
better-whey,500g Pack (20 servings) / Vanilla (unsweetened),0724999808903,better-whey | 500g Pack (20 servings) / Vanilla (unsweetened),6,0.16666666666666666,49.685
lean-protein,1kg Pack (40 servings) / Taro,0724999807708,lean-protein | 1kg Pack (40 servings) / Taro,6,0.16666666666666666,124.70666666666666
better-whey,500g (20 serves) / Cocoa Dinosaur,0724999808897,better-whey | 500g (20 serves) / Cocoa Dinosaur,6,0.3333333333333333,57.32494949494949
soy-protein-isolate,1KG Pack / Natural (Unflavoured),0724999807845,soy-protein-isolate | 1KG Pack / Natural (Unflavoured),5,0.0,66.92787878787878
